title,Russian Translation ,Turkish Translation ,content,positive,negative,neutral,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
adrift,по течению,başıboş,qaçmaq,0,neg,0,0,ant,0,fea,0,sad,0,0
adult,для взрослых,yetişkin,böyüklər,0,0,neu,0,0,0,0,0,0,0,0
adulterated,фальсифицированный,karışık,uydurulmuş,0,neg,0,0,0,0,0,0,0,0,0
adultery,прелюбодеяние,zina,zina,0,neg,0,0,0,dis,0,0,sad,0,0
advance,продвигать,ilerlemek,irəliləmək,pos,0,0,0,ant,0,fea,joy,0,sur,0
advanced,передовой,ileri,qabaqcıl,pos,0,0,0,0,0,0,0,0,0,0
advancement,продвижение,ilerleme,irəliləyiş,pos,0,0,0,0,0,0,0,0,0,0
advancing,продвижение,ilerleyen,irəliləyən,0,0,neu,0,0,0,0,0,0,0,0
advantage,преимущество,avantaj,üstünlük,pos,0,0,0,0,0,0,0,0,0,0
advantageous,выгодный,avantajlı,sərfəli,pos,0,0,0,0,0,0,0,0,0,0
advent,приход,Advent,gəliş,pos,0,0,0,ant,0,0,joy,0,0,tru
adventure,приключение,macera,macəra,pos,0,0,0,ant,0,0,0,0,0,0
adventurer,авантюрист,maceraperest,macəraçı,0,0,neu,0,0,0,0,0,0,0,0
adventurous,авантюрный,maceraperest,macəraçı,pos,0,0,0,0,0,0,0,0,0,0
adversary,противник,düşman,düşmən,0,neg,0,ang,0,0,0,0,0,0,0
adverse,неблагоприятный,ters,mənfi,0,neg,0,ang,0,dis,fea,0,sad,0,0
adversity,несчастья,sıkıntı,bəla,0,neg,0,ang,0,0,fea,0,sad,0,0
advertise,рекламировать,duyurmak,reklam etmək,0,0,neu,0,0,0,0,0,0,0,0
advertisement,реклама,reklâm,reklam,0,0,neu,0,0,0,0,0,0,0,0
advice,совет,tavsiye,məsləhət,0,0,neu,0,0,0,0,0,0,0,tru
advisable,Желательно,uygun,məsləhətdir,pos,0,0,0,0,0,0,0,0,0,tru
advise,советовать,bildirmek,məsləhət vermək,pos,0,0,0,0,0,0,0,0,0,tru
advised,советуют,tavsiye,məsləhət verdi,0,0,neu,0,0,0,0,0,0,0,tru
advisement,совещание суда перед вынесением решения,advisement,məsləhət,0,0,neu,0,0,0,0,0,0,0,0
adviser,советник,danışman,məsləhətçi,pos,0,0,0,0,0,0,0,0,0,tru
advocacy,пропаганда,savunma,vəkillik,pos,0,0,ang,ant,0,0,joy,0,0,tru
advocate,адвокат,avukat,müdafiəçi,0,0,neu,0,0,0,0,0,0,0,tru
aegis,эгида,siper,aegis,0,0,neu,0,0,0,0,0,0,0,0
aeration,аэрация,havalandırma,havalandırma,0,0,neu,0,0,0,0,0,0,0,0
aerial,антенна,anten,hava,0,0,neu,0,0,0,0,0,0,0,0
aerodrome,аэродром,havaalanı,aerodrom,0,0,neu,0,0,0,0,0,0,0,0
aerodynamics,аэродинамика,aerodinamik,aerodinamika,0,0,neu,0,0,0,0,0,0,0,0
aeronautics,воздухоплавание,havacılık,aeronavtika,0,0,neu,0,0,0,0,0,0,0,0
aeroplane,самолет,uçak,təyyarə,0,0,neu,0,0,0,0,0,0,0,0
aesthetic,эстетический,estetik,estetik,pos,0,0,0,0,0,0,0,0,0,0
aesthetics,эстетика,estetik,estetika,pos,0,0,0,0,0,0,joy,0,0,0
aetiology,этиология,etiyoloji,etiologiya,0,0,neu,0,0,0,0,0,0,0,0
afar,издалека,uzaktan,uzaqda,0,0,neu,0,0,0,0,0,0,0,0
affable,приветливый,nazik,yaraşıqlı,pos,0,0,0,0,0,0,0,0,0,0
affair,дело,mesele,iş,0,0,neu,0,0,0,0,0,0,0,0
affecting,затрагивающий,etkileyen,təsir edən,0,0,neu,0,0,0,0,0,0,0,0
affection,привязанность,sevgi,sevgi,pos,0,0,0,0,0,0,joy,0,0,tru
affections,привязанности,sevgi,sevgilər,0,0,neu,0,0,0,0,0,0,0,0
affiche,афиша,affiche,inandırmaq,0,0,neu,0,0,0,0,0,0,0,0
affidavit,письменное показание под присягой,beyanname,şəhadətnamə,0,0,neu,0,0,0,0,0,0,0,0
affiliated,аффилированным,bağlı,bağlı,pos,0,0,0,0,0,0,0,0,0,0
affiliation,присоединение,üyelik,mənsubiyyət,0,0,neu,0,0,0,0,0,0,0,0
affinity,сродство,benzeşme,qohumluq,0,0,neu,0,0,0,0,0,0,0,0
affirm,утверждать,onaylamak,təsdiq etmək,pos,0,0,0,0,0,0,0,0,0,tru
affirmation,утверждение,onay,təsdiq,pos,0,0,0,0,0,0,0,0,0,0
affirmative,утвердительный,olumlu,təsdiqləyən,pos,0,0,0,0,0,0,0,0,0,0
affirmatively,утвердительно,onaylayarak,təsdiqlə,pos,0,0,0,0,0,0,0,0,0,tru
affix,ставить,iliştirmek,yapışdırmaq,0,0,neu,0,0,0,0,0,0,0,0
afflict,причинять боль,üzmek,əziyyət çəkmək,0,neg,0,0,0,0,fea,0,sad,0,0
afflicted,страдающий,dertli,əzab çəkmiş,0,neg,0,0,0,0,0,0,0,0,0
affliction,бедствие,ızdırap,əziyyət,0,neg,0,0,0,dis,fea,0,sad,0,0
affluence,богатство,zenginlik,zənginlik,pos,0,0,0,0,0,0,joy,0,0,0
affluent,богатый,varlıklı,varlı,pos,0,0,0,0,0,0,0,0,0,0
afford,позволить себе,göze,ödəmək,pos,0,0,0,0,0,0,0,0,0,0
affront,оскорбление,hakaret,təhqir etmək,0,neg,0,ang,0,dis,fea,0,sad,sur,0
afield,в поле,kırlara,uzaqda,0,0,neu,0,0,0,0,0,0,0,0
afore,прежде,yukarıda,əvvəl,0,0,neu,0,0,0,0,0,0,0,0
aforementioned,вышеупомянутый,daha önce belirtilen,yuxarıda qeyd olunan,0,0,neu,0,0,0,0,0,0,0,0
aforesaid,вышеупомянутый,daha önce belirtilen,yuxarıda deyilən,0,0,neu,0,0,0,0,0,0,0,0
afraid,боюсь,korkmuş,qorxuram,0,neg,0,0,0,0,fea,0,0,0,0
afresh,снова,baştan,yenidən,0,0,neu,0,0,0,0,0,0,0,0
aft,кормовой,kıçta,arxa,0,0,neu,0,0,0,0,0,0,0,0
aftermath,последствия,sonrasında,sonradan,0,neg,0,ang,0,dis,fea,0,sad,0,0
afternoon,после полудня,öğleden sonra,günortadan sonra,0,0,neu,0,0,0,0,0,0,0,0
aftertaste,осадок,ağızda kalan tat,dadmaq,0,neg,0,0,0,0,0,0,0,0,0
afterthought,запоздалая мысль,sonradan akla gelen düşünce,sonradan,0,0,neu,0,0,0,0,0,0,0,0
aga,ага,aga,ağa,pos,0,0,0,0,0,fea,0,0,0,tru
agate,агат,akik,agat,0,0,neu,0,0,0,0,0,0,0,0
age,возраст,yaş,yaş,0,0,neu,0,0,0,0,0,0,0,0
aged,пожилой,yaşlı,yaşlı,0,0,neu,0,0,0,0,0,0,0,0
agency,агентство,ajans,agentlik,0,0,neu,0,0,0,0,0,0,0,0
agent,агент,ajan,agent,0,0,neu,0,0,0,0,0,0,0,0
agglomeration,агломерация,yığılma,aqlomerasiya,0,0,neu,0,0,0,0,0,0,0,0
aggravated,усугубленный,ağırlaştırılmış,ağırlaşdırılmış,0,neg,0,ang,0,0,0,0,0,0,0
aggravating,отягчающий,ağırlaştırıcı,ağırlaşdırıcı,0,neg,0,ang,0,0,0,0,sad,0,0
aggravation,ухудшение,kızdırma,ağırlaşma,0,neg,0,ang,0,dis,0,0,0,0,0
aggregate,совокупный,toplam,məcmu,0,0,neu,0,0,0,0,0,0,0,0
aggregation,агрегация,toplanma,toplama,0,0,neu,0,0,0,0,0,0,0,0
aggression,агрессия,saldırganlık,təcavüz,0,neg,0,ang,0,0,fea,0,0,0,0
aggressive,агрессивный,agresif,aqressiv,0,neg,0,ang,0,0,fea,0,0,0,0
aggressor,агрессор,saldırgan,təcavüzkar,0,neg,0,ang,0,0,fea,0,0,0,0
aghast,в ужасе,donakalmış,dəhşət,0,neg,0,0,0,dis,fea,0,0,sur,0
